id,sentence,aspect,aspect_token,label,label_text
1," quần rất rộng lại ngắn nhắn tin thì trả lời chậm rất lâu luôn , gọi cho cửa hàng thì không gọi được thế mà lúc gửi nhận hành còn kèm theo tờ giấy lỗi hay gì hoàn trả 100 quần tốt so với giá tiền dịch vụ kém các bạn cân nhắc khi mua nhé lỗi hay hoàn trả gì đấy thì coi như mang mà đi sửa",kich_co,quần rất rộng lại ngắn,0,negative
1," quần rất rộng lại ngắn nhắn tin thì trả lời chậm rất lâu luôn , gọi cho cửa hàng thì không gọi được thế mà lúc gửi nhận hành còn kèm theo tờ giấy lỗi hay gì hoàn trả 100 quần tốt so với giá tiền dịch vụ kém các bạn cân nhắc khi mua nhé lỗi hay hoàn trả gì đấy thì coi như mang mà đi sửa",cham_soc_khach_hang, nhắn tin thì trả lời chậm rất lâu luôn,0,negative
1," quần rất rộng lại ngắn nhắn tin thì trả lời chậm rất lâu luôn , gọi cho cửa hàng thì không gọi được thế mà lúc gửi nhận hành còn kèm theo tờ giấy lỗi hay gì hoàn trả 100 quần tốt so với giá tiền dịch vụ kém các bạn cân nhắc khi mua nhé lỗi hay hoàn trả gì đấy thì coi như mang mà đi sửa",uy_tin_cua_hang,gọi cho cửa hàng thì không gọi được,0,negative
2,"quần đẹp đẹp chất lượng, nên mua nha mọi người",chat_luong,quần đẹp đẹp chất lượng,2,positive
3,mới mua về đã bị hư khoá kéo,gia_cong,hư khoá kéo,0,negative
4,quần to so với kích thước,kich_co,to,0,negative
5,tôi mua 2 loại rồi . trên cửa hàng nay giá tiền khác nhau mà sân phẩm là giống nhau. với màu này không phải là màu kem . hình như là màu ghi thôi,mau_sac,màu này không phải là màu kem,0,negative
6,"quần thì được, nhưng mà séc kéo bị hư ",chat_luong,quần thì được,2,positive
6,"quần thì được, nhưng mà séc kéo bị hư ",gia_cong,séc kéo bị hư ,0,negative
7,quần đẹp nhưng mới mặc đã bung chỉ nhiều chỗ,chat_luong,quần đẹp,2,positive
7,quần đẹp nhưng mới mặc đã bung chỉ nhiều chỗ,gia_cong,mới mặc đã bung chỉ nhiều chỗ,0,negative
8,"quần đúng đẹp thật nhưng mà sao vừa mặc lại rách toạc ở giữa,đang đi làm luôn á trời quê điên",kieu_dang,quần đúng đẹp thật,2,positive
8,"quần đúng đẹp thật nhưng mà sao vừa mặc lại rách toạc ở giữa,đang đi làm luôn á trời quê điên",gia_cong, vừa mặc lại rách toạc,0,negative
9,nhưng mà chất liệu vải khá mỏng,chat_lieu,chất liệu vải khá mỏng,0,negative
10,với giá này thì quần ổn nhưng mà vải ủi xíu cháy mất nên thôi bỏ với giá này chịu thôiii,gia_ca,giá này thì quần ổn,1,neutral
10,với giá này thì quần ổn nhưng mà vải ủi xíu cháy mất nên thôi bỏ với giá này chịu thôiii,chat_lieu, vải ủi xíu cháy ,0,negative
11,cửa hàng này lừa đảo đổi trả hàng nhé đã nhận hàng đổi trả bên bưu điện mà lại khăng khăng không nhận .mọi người né cửa hàng này ra nhé ăn chặn hàng của khách đấy,uy_tin_cua_hang,"cửa hàng này lừa đảo,mọi người né cửa hàng này ra nhé ăn chặn hàng của khách đấy",0,negative
11,cửa hàng này lừa đảo đổi trả hàng nhé đã nhận hàng đổi trả bên bưu điện mà lại khăng khăng không nhận .mọi người né cửa hàng này ra nhé ăn chặn hàng của khách đấy,doi_tra,đổi trả hàng nhé đã nhận hàng đổi trả bên bưu điện mà lại khăng khăng không nhận,0,negative
12,"mình cao m72 nặng từ 55 60kg mà mua 29 cứ như mua 92,ống quần rất rộng và sâu…..ko bao giờ mua lại lần2",kich_co,"mua 29 cứ như mua 92,ống quần rất rộng và sâu",0,negative
13,may túi kiểu gì vậy,gia_cong,may túi kiểu gì vậy,0,negative
14,mua 3 cái 3 cái khác nhau hết,uy_tin_cua_hang,mua 3 cái 3 cái khác nhau hết,0,negative
15,"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được",kich_co,rộng kích cỡ ,0,negative
15,"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được",giao_hang,giao thì nhanh,2,positive
15,"tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được",doi_tra,đổi hàng thi tới 17 ngày,0,negative
16,quần đẹp mới mở ra đã bị bung chỉ gấu quần rồi,kieu_dang,quần đẹp,2,positive
16,quần đẹp mới mở ra đã bị bung chỉ gấu quần rồi,gia_cong,mới mở ra đã bị bung chỉ gấu quần rồi,0,negative
17,"quần hơi ngắn tui m8 bận kích cỡ 31 trên mắc cá 1 khúc lun á, mấy bạn cao cao mà óm óm cân nhắc nha",kich_co,quần hơi ngắn,0,negative
18,chưa nói đến chất lượng hàng nhưng giao hàng chậm tới mình mất gần tuần. đổi hàng gửi lại hàng chật cho cửa hàng xong nhắn hỏi trạng thái đơn đã gửi lại chưa không hề trả lời,giao_hang, giao hàng chậm tới mình mất gần tuần,0,negative
18,chưa nói đến chất lượng hàng nhưng giao hàng chậm tới mình mất gần tuần. đổi hàng gửi lại hàng chật cho cửa hàng xong nhắn hỏi trạng thái đơn đã gửi lại chưa không hề trả lời,doi_tra, đổi hàng gửi lại hàng chật ,0,negative
18,chưa nói đến chất lượng hàng nhưng giao hàng chậm tới mình mất gần tuần. đổi hàng gửi lại hàng chật cho cửa hàng xong nhắn hỏi trạng thái đơn đã gửi lại chưa không hề trả lời,cham_soc_khach_hang, nhắn hỏi trạng thái đơn đã gửi lại chưa không hề trả lời,0,negative
19,vải dày dặn chất vải trông hơi già bạn giống của mấy bác u50 ......,chat_lieu,vải dày dặn,2,positive
19,vải dày dặn chất vải trông hơi già bạn giống của mấy bác u50 ......,kieu_dang,chất vải trông hơi già bạn giống của mấy bác u50 ......,0,negative
20,nói chung là cũng bình thường chất vải đẹp tốt giá hợp lý nhưng hàng cũng chỉ 70 100 thôi,chat_lieu,chất vải đẹp tốt,2,positive
20,nói chung là cũng bình thường chất vải đẹp tốt giá hợp lý nhưng hàng cũng chỉ 70 100 thôi,gia_ca, giá hợp lý,1,neutral
21,"quần form đẹp rẻ bền, nên mua nhưng mà nó hơi bung chỉ. lúc đầu sp rất đpwj nhưng sau 2 lần giặt, vải xù hết cả lên, thất vọng về sản phẩm bên cửa hàng cửa hàng đã giải quyết bằng cách voucher cho mình nhưng mình vẫn phải đánh giá công bằng về sp",kieu_dang,quần form đẹp,2,positive
21,"quần form đẹp rẻ bền, nên mua nhưng mà nó hơi bung chỉ. lúc đầu sp rất đpwj nhưng sau 2 lần giặt, vải xù hết cả lên, thất vọng về sản phẩm bên cửa hàng cửa hàng đã giải quyết bằng cách voucher cho mình nhưng mình vẫn phải đánh giá công bằng về sp",gia_ca, rẻ,2,positive
21,"quần form đẹp rẻ bền, nên mua nhưng mà nó hơi bung chỉ. lúc đầu sp rất đpwj nhưng sau 2 lần giặt, vải xù hết cả lên, thất vọng về sản phẩm bên cửa hàng cửa hàng đã giải quyết bằng cách voucher cho mình nhưng mình vẫn phải đánh giá công bằng về sp",do_ben,"sau 2 lần giặt, vải xù hết cả lên",0,negative
21,"quần form đẹp rẻ bền, nên mua nhưng mà nó hơi bung chỉ. lúc đầu sp rất đpwj nhưng sau 2 lần giặt, vải xù hết cả lên, thất vọng về sản phẩm bên cửa hàng cửa hàng đã giải quyết bằng cách voucher cho mình nhưng mình vẫn phải đánh giá công bằng về sp",gia_cong, hơi bung chỉ,0,negative
22,hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm,kieu_dang,hàng đẹp,2,positive
22,hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm,gia_cong, ống quần lệch 4cm bụng lệch nhau 3cm,0,negative
23,"mua ngày 12 10 nhưng bây giờ mới mở ra và kiểm tra, chất lượng xấu người kiểm tra ngoại quan của chiếc quần này xứng đáng cho nghỉ việc. rất hạn trả rồi, tôi bất cẩn khi tin tưởng cửa hàng 100 . xấu",chat_luong,chất lượng xấu,0,negative
24,cửa hàng làm ăn không uy tín gửi hàng mà không coi gửi hàng rách,uy_tin_cua_hang,cửa hàng làm ăn không uy tín,0,negative
25,"hàng ở ngoài không như hình : . cửa hàng nhiệt tình. giao hàng rất nhanh. hơi rộng 1 xíu nhưng tốt so với các quần khác thì bình thường, không có gì nổi bật",uy_tin_cua_hang,hàng ở ngoài không như hình,0,negative
25,"hàng ở ngoài không như hình : . cửa hàng nhiệt tình. giao hàng rất nhanh. hơi rộng 1 xíu nhưng tốt so với các quần khác thì bình thường, không có gì nổi bật",cham_soc_khach_hang,cửa hàng nhiệt tình,2,positive
25,"hàng ở ngoài không như hình : . cửa hàng nhiệt tình. giao hàng rất nhanh. hơi rộng 1 xíu nhưng tốt so với các quần khác thì bình thường, không có gì nổi bật",kich_co,hơi rộng 1 xíu ,0,negative
25,"hàng ở ngoài không như hình : . cửa hàng nhiệt tình. giao hàng rất nhanh. hơi rộng 1 xíu nhưng tốt so với các quần khác thì bình thường, không có gì nổi bật",giao_hang,giao hàng rất nhanh,2,positive
26,"quần phom không đẹp cũng đúng với giá tiền thật. cái cúc quần trông cũ, chỉ thừa nhiều, cảm giác như quần cũ luôn, mình chưa hề rạch khuy mà đã rạch sẵn. trải nghiệm mua lần này không hài lòng như lần mình mua áo polo của cửa hàng",kieu_dang,quần phom không đẹp,0,negative
26,"quần phom không đẹp cũng đúng với giá tiền thật. cái cúc quần trông cũ, chỉ thừa nhiều, cảm giác như quần cũ luôn, mình chưa hề rạch khuy mà đã rạch sẵn. trải nghiệm mua lần này không hài lòng như lần mình mua áo polo của cửa hàng",gia_ca,đúng với giá tiền,1,neutral
26,"quần phom không đẹp cũng đúng với giá tiền thật. cái cúc quần trông cũ, chỉ thừa nhiều, cảm giác như quần cũ luôn, mình chưa hề rạch khuy mà đã rạch sẵn. trải nghiệm mua lần này không hài lòng như lần mình mua áo polo của cửa hàng",gia_cong,"cái cúc quần trông cũ, chỉ thừa nhiều, cảm giác như quần cũ luôn, mình chưa hề rạch khuy mà đã rạch sẵn",0,negative
27,"giá rẻ, kiểu dáng đẹp không bó cũng không baggy mà suông theo chân nhưng dễ nhăn và chất lượng hoàn thiện rất xấu chỉ thừa nhiều vô kể ngồi cắt mãi ms hết",gia_ca,giá rẻ,2,positive
27,"giá rẻ, kiểu dáng đẹp không bó cũng không baggy mà suông theo chân nhưng dễ nhăn và chất lượng hoàn thiện rất xấu chỉ thừa nhiều vô kể ngồi cắt mãi ms hết",kieu_dang,kiểu dáng đẹp,2,positive
27,"giá rẻ, kiểu dáng đẹp không bó cũng không baggy mà suông theo chân nhưng dễ nhăn và chất lượng hoàn thiện rất xấu chỉ thừa nhiều vô kể ngồi cắt mãi ms hết",gia_cong,chất lượng hoàn thiện rất xấu chỉ thừa nhiều vô kể ngồi cắt mãi ms hết,0,negative
27,"giá rẻ, kiểu dáng đẹp không bó cũng không baggy mà suông theo chân nhưng dễ nhăn và chất lượng hoàn thiện rất xấu chỉ thừa nhiều vô kể ngồi cắt mãi ms hết",chat_lieu, dễ nhăn,0,negative
28,chất rất xấu luôn ấy mỏng tèo sẽ không có lần sau . lúc đầu thấy mọi người đánh giá ổn nên mua may mà mình mua 1c,chat_lieu,chất rất xấu luôn ấy mỏng tèo ,0,negative
29,tư vấn đổi size mà không đổi là seo dị,cham_soc_khach_hang,tư vấn đổi size mà không đổi,0,negative
30,"èo ôi mua còn hỏi trước có rộng không mà cửa hàng tl không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông",kich_co,"quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần ",0,negative
30,"èo ôi mua còn hỏi trước có rộng không mà cửa hàng tl không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông",kieu_dang,phải công nhận quần đẹp,2,positive
30,"èo ôi mua còn hỏi trước có rộng không mà cửa hàng tl không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông",cham_soc_khach_hang,tư vấn chán,0,negative
31,vải được. ống quần khá rộng so với tưởng tượng,chat_lieu,vải được,1,neutral
31,vải được. ống quần khá rộng so với tưởng tượng,kich_co, ống quần khá rộng so với tưởng tượng,0,negative
32,"vải quần bị xúc sổ, sờn chỉ, may sơ sài, không đẹp như mong đợi, cửa hàng giao hàng nhanh.",gia_cong,"vải quần bị xúc sổ, sờn chỉ, may sơ sài, không đẹp như mong đợi",0,negative
32,"vải quần bị xúc sổ, sờn chỉ, may sơ sài, không đẹp như mong đợi, cửa hàng giao hàng nhanh.",giao_hang, giao hàng nhanh.,2,positive
33,chịu luôn ạ mua mặc thử 1 cái thấy tốt xog cái còn lại bây h mới mặc thì nó không đúng kích cỡ 32 rõ ràng đặt 2 cái kích cỡ 32 mà h giao z.lỡ cắt mác r tại cứ nghĩ 2 cái giống nhau h cũng chả đổi được,kich_co,không đúng kích cỡ,0,negative
34,đặt màu đen xog mở ra so với quần âu ở nhà lại đen không ra đen xanh navy không ra xanh navy chả hiểu làm ăn kiểu gì nữa,mau_sac,đen không ra đen xanh navy không ra xanh navy,0,negative
35,"đóng gói cản thận,vải cũng ok.nhưng em khuyên mọi người nên lựa chọn kích cỡ cẩn thận 1 chút.em cao m70 73kg mà lấy kích cỡ 34 rồi còn bị kích phải đem sửa.shop có kêu trả hàng mà ấn nhận r thôi thì 3 vì cửa hàng cũng có đưa ra ý kiến là trả hàng với chất vải cũng tốt",dong_goi,đóng gói cản thận,2,positive
35,"đóng gói cản thận,vải cũng ok.nhưng em khuyên mọi người nên lựa chọn kích cỡ cẩn thận 1 chút.em cao m70 73kg mà lấy kích cỡ 34 rồi còn bị kích phải đem sửa.shop có kêu trả hàng mà ấn nhận r thôi thì 3 vì cửa hàng cũng có đưa ra ý kiến là trả hàng với chất vải cũng tốt",chat_lieu,"vải cũng ok, chất vải cũng tốt",2,positive
35,"đóng gói cản thận,vải cũng ok.nhưng em khuyên mọi người nên lựa chọn kích cỡ cẩn thận 1 chút.em cao m70 73kg mà lấy kích cỡ 34 rồi còn bị kích phải đem sửa.shop có kêu trả hàng mà ấn nhận r thôi thì 3 vì cửa hàng cũng có đưa ra ý kiến là trả hàng với chất vải cũng tốt",kich_co,kích cỡ 34 rồi còn bị kích ,0,negative
35,"đóng gói cản thận,vải cũng ok.nhưng em khuyên mọi người nên lựa chọn kích cỡ cẩn thận 1 chút.em cao m70 73kg mà lấy kích cỡ 34 rồi còn bị kích phải đem sửa.shop có kêu trả hàng mà ấn nhận r thôi thì 3 vì cửa hàng cũng có đưa ra ý kiến là trả hàng với chất vải cũng tốt",doi_tra,trả hàng với chất vải cũng tốt,2,positive
36,mình mua áo sáu cúc nhưng cửa hàng giao áo hai cúc chất liệu vải bình thường đúng là tiền nào của đấy rẻ thì bao giờ cũng ôi nói chung là không chất lượng lắm,uy_tin_cua_hang,mình mua áo sáu cúc nhưng cửa hàng giao áo hai cúc,0,negative
36,mình mua áo sáu cúc nhưng cửa hàng giao áo hai cúc chất liệu vải bình thường đúng là tiền nào của đấy rẻ thì bao giờ cũng ôi nói chung là không chất lượng lắm,chat_lieu,chất liệu vải bình thường,1,neutral
36,mình mua áo sáu cúc nhưng cửa hàng giao áo hai cúc chất liệu vải bình thường đúng là tiền nào của đấy rẻ thì bao giờ cũng ôi nói chung là không chất lượng lắm,gia_ca,tiền nào của đấy rẻ thì bao giờ cũng ôi ,1,neutral
37,cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt,cham_soc_khach_hang,cửa hàng tư vấn nhiệt tình,2,positive
37,cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt,kich_co, kích cỡ ổn,1,neutral
37,cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt,gia_cong,hưa may cúc ,0,negative
38,chất lượng thì ổn nhưng đã cắt cúc nghi vẫn hàng không chuẩn,chat_luong,chất lượng thì ổn,1,neutral
38,chất lượng thì ổn nhưng đã cắt cúc nghi vẫn hàng không chuẩn,uy_tin_cua_hang,nghi vẫn hàng không chuẩn,1,neutral
39,fom dáng đẹp chất liệu đẹp nhưng cạp quần rất kì rộng,kieu_dang,fom dáng đẹp,2,positive
39,fom dáng đẹp chất liệu đẹp nhưng cạp quần rất kì rộng,chat_lieu,chất liệu đẹp,2,positive
39,fom dáng đẹp chất liệu đẹp nhưng cạp quần rất kì rộng,kich_co,cạp quần rất kì rộng,0,negative
40,giao thiếu hàng đợi không thấy lên đơn giải quyết phục vụ rất xấu không có giải quyết cụ thể biểu lên đơn chờ xác nhận nhận hạng nhưng mà mình đợi cả tuần vẫn không thấy phản hồi của cửa hàng mình mua đây là lần đầu tiên gặp tình trạng như thế này và mình đã xác nhận đơn hàng và xem như mình bỏ luôn,giao_hang,giao thiếu hàn,0,negative
40,giao thiếu hàng đợi không thấy lên đơn giải quyết phục vụ rất xấu không có giải quyết cụ thể biểu lên đơn chờ xác nhận nhận hạng nhưng mà mình đợi cả tuần vẫn không thấy phản hồi của cửa hàng mình mua đây là lần đầu tiên gặp tình trạng như thế này và mình đã xác nhận đơn hàng và xem như mình bỏ luôn,uy_tin_cua_hang," phục vụ rất xấu không có giải quyế,  không thấy phản hồi của cửa hàng t",0,negative
41,"vải sida nhé mọi người. tiền nào của nấy. mặc 1,2 hôm chưa giặt lần nào mà đã xù vải rồi. chưa biết giặt xong thành cái quần lông không nữa",chat_lieu,"vải sida,mặc 1,2 hôm chưa giặt lần nào mà đã xù vải rồi",0,negative
42,mới nhận thử quần mà phéc bơ tuy hư lun chưa mặc được lần nào mà giờ đi sửa quần,gia_cong,mới nhận thử quần mà phéc bơ tuy hư,0,negative
43,"quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ",kieu_dang,quần đẹp ,2,positive
43,"quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ",chat_luong,chất lượng tốt,2,positive
43,"quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ",gia_cong, có vết kia không xoá với tẩy được ạ,0,negative
44,quần rộng lắm mọi người cửa hàng xấu thật sự không hài lòng chút nào,kich_co,quần rộng lắm,0,negative
45,cửa hàng làm ăn thế này là không được mình đặt 2 mà giao có 1 là sao,uy_tin_cua_hang,cửa hàng làm ăn thế này là không được mình đặt 2 mà giao có 1 là sao,0,negative
46,mình muốn đổi mà liên hệ cửa hàng không trả lời phục vụ khách hàng rất kém,cham_soc_khach_hang, liên hệ cửa hàng không trả lời phục vụ khách hàng rất kém,0,negative
47,"tư vấn kích cỡ không đúng lắm, hơi ngắn nma do không muốn hoàn trả mất thời gian lămgf nhằng nên thoi h.ảnh vd mang tính chất minh hoạ",kich_co,hơi ngắn,0,negative
