id,sentence,aspect,aspect_token,label,label_text,input_text,label_id
380,"quần có bị bung chỉ, nhắn tin không thấy cửa hàng phản hồi aaaaaaaassss",gia_cong,quần có bị bung chỉ,0,negative,"quần có bị bung chỉ, nhắn tin không thấy cửa hàng phản hồi aaaaaaaassss [SEP] đường may gia công chỉ may",0
518,ống quần rất rộng với chất vải không có giãn,kieu_dang,ống quần rất rộng ,0,negative,ống quần rất rộng với chất vải không có giãn [SEP] kiểu dáng form thiết kế mẫu,0
7,quần đẹp nhưng mới mặc đã bung chỉ nhiều chỗ,gia_cong,mới mặc đã bung chỉ nhiều chỗ,0,negative,quần đẹp nhưng mới mặc đã bung chỉ nhiều chỗ [SEP] đường may gia công chỉ may,0
31,vải được. ống quần khá rộng so với tưởng tượng,chat_lieu,vải được,1,neutral,vải được. ống quần khá rộng so với tưởng tượng [SEP] vải chất liệu vải thun cotton jean kaki,1
103,hàng vải đẹp nhưng đặt kích cỡ 32 gửi kích cỡ 33 không thể nào mặc được,dong_goi,đặt kích cỡ 32 gửi kích cỡ 33 không thể nào mặc được,0,negative,hàng vải đẹp nhưng đặt kích cỡ 32 gửi kích cỡ 33 không thể nào mặc được [SEP] đóng gói bao bì đóng hộp,0
473,"lúc đầu mở ra không để ý kỹ, sau khi dùng 1 lần thì thấy đáy quần bị thủng 1 lỗ nhỏ thủng không phải rách đáy . tuy là vải quần rất đẹp",chat_lieu,vải quần rất đẹp,2,positive,"lúc đầu mở ra không để ý kỹ, sau khi dùng 1 lần thì thấy đáy quần bị thủng 1 lỗ nhỏ thủng không phải rách đáy . tuy là vải quần rất đẹp [SEP] vải chất liệu vải thun cotton jean kaki",2
305,đặt xanh và ghi thì lại giao đen. mới mua màu đen xong,mau_sac,đặt xanh và ghi thì lại giao đen,0,negative,đặt xanh và ghi thì lại giao đen. mới mua màu đen xong [SEP] màu màu sắc đậm nhạt,0
343,thật sự thất vọng về cách làm việc của cửa hàng mình đặt kích cỡ 29 nhưng cửa hàng gửi mình kích cỡ 32 ghi ở dưới đổi trả thì bảo gửi hàng lại rồi mà 1 tuần không thấy đâu,kich_co, đặt kích cỡ 29 nhưng cửa hàng gửi mình kích cỡ 32 ,0,negative,thật sự thất vọng về cách làm việc của cửa hàng mình đặt kích cỡ 29 nhưng cửa hàng gửi mình kích cỡ 32 ghi ở dưới đổi trả thì bảo gửi hàng lại rồi mà 1 tuần không thấy đâu [SEP] size kích cỡ rộng chật ngắn dài,0
615,"quần đẹp vải mịn, nhưng mà cút quần đã bị được sử dụng ròi ấy, nên không hài lòng cho lắm",chat_luong,quần đẹp,2,positive,"quần đẹp vải mịn, nhưng mà cút quần đã bị được sử dụng ròi ấy, nên không hài lòng cho lắm [SEP] chất lượng tốt xấu thất vọng hài lòng",2
136,gửi về đổi kích cỡ quần mà bị bùng luôn ạ,uy_tin_cua_hang,gửi về đổi kích cỡ quần mà bị bùng luôn ạ,0,negative,gửi về đổi kích cỡ quần mà bị bùng luôn ạ [SEP] uy tín shop cửa hàng đáng tin,0
